,Escaped,Dead,Alive,FireCells,SmokeCells,MeanHealth,EvacuationRate,Panicking,Rescuing
0,0,0,30,2,0,100.0,0.0,0,0
1,0,0,30,7,4,98.33333333333333,0.0,0,9
2,0,1,29,7,4,100.0,0.0,0,9
3,0,1,29,7,4,99.93103448275862,0.0,0,9
4,1,1,28,7,4,99.92857142857143,0.03333333333333333,0,9
5,2,1,27,7,11,99.85185185185185,0.06666666666666667,0,8
6,4,1,25,13,8,99.76,0.13333333333333333,0,8
7,5,1,24,13,8,99.66666666666667,0.16666666666666666,0,7
8,5,1,24,13,8,99.66666666666667,0.16666666666666666,0,6
9,6,1,23,13,11,99.56521739130434,0.2,0,6
10,6,1,23,13,11,99.47826086956522,0.2,0,5
11,6,1,23,21,10,97.30434782608695,0.2,0,4
12,9,1,20,21,10,97.0,0.3,0,4
13,10,1,19,21,19,96.73684210526316,0.3333333333333333,0,4
14,11,1,18,21,19,96.55555555555556,0.36666666666666664,0,4
15,12,1,17,21,19,96.3529411764706,0.4,0,4
16,14,1,15,38,9,95.86666666666666,0.4666666666666667,0,3
17,14,1,15,38,20,95.86666666666666,0.4666666666666667,0,3
18,15,1,14,38,20,96.0,0.5,0,3
19,15,1,14,38,20,96.0,0.5,0,3
20,17,1,12,38,20,95.33333333333333,0.5666666666666667,0,3
21,17,1,12,57,12,95.33333333333333,0.5666666666666667,0,3
22,17,1,12,57,12,95.33333333333333,0.5666666666666667,0,3
23,18,1,11,57,12,94.9090909090909,0.6,0,2
24,19,1,10,57,12,94.4,0.6333333333333333,0,2
25,19,1,10,57,16,94.4,0.6333333333333333,0,1
26,20,1,9,73,7,93.77777777777777,0.6666666666666666,0,1
27,21,1,8,73,7,93.0,0.7,0,0
28,22,1,7,73,7,92.0,0.7333333333333333,0,0
29,23,1,6,73,20,99.33333333333333,0.7666666666666667,0,0
30,24,1,5,73,20,98.8,0.8,0,0
31,24,1,5,93,7,98.8,0.8,0,0
32,24,1,5,93,7,98.8,0.8,0,0
33,24,1,5,93,12,98.8,0.8,0,0
34,25,1,4,93,12,98.5,0.8333333333333334,0,0
35,25,1,4,93,12,98.5,0.8333333333333334,0,0
36,26,1,3,102,7,98.0,0.8666666666666667,0,0
37,27,1,2,102,13,97.0,0.9,0,0
38,27,1,2,102,13,97.0,0.9,0,0
39,27,1,2,102,13,97.0,0.9,0,0
40,28,1,1,102,13,94.0,0.9333333333333333,0,0
41,28,1,1,111,14,94.0,0.9333333333333333,0,0
42,29,1,0,111,14,0.0,0.9666666666666667,0,0
